unit,year,median_income,proportion,median_age,65p_proportion,covid_fully_vac_rate
Southbridge-black,2021,38036.0,0.0442668480417162,28.3,0.0026639460409227,0.51
Southbridge-hispanic,2021,38733.0,0.340758374426118,27.9,0.0299835628861304,0.74
Southbridge-white,2021,50932.0,0.7638723573088477,45.4,0.1230516352094315,0.49
Springfield-asian,2021,61419.0,0.0282275149258522,33.2,0.0025101110611799,0.59
Springfield-black,2021,43814.0,0.207543172626308,32.1,0.0249983950696539,0.48
Springfield-hispanic,2021,29202.0,0.4747640752391346,27.7,0.0355138986967965,0.39
Springfield-white,2021,49568.0,0.5288181292931887,36.6,0.0800539256596263,0.65
Waltham-asian,2021,122182.0,0.1216147243059314,27.4,0.010424561132163,0.6
Waltham-black,2021,71433.0,0.06751218003248,33.2,0.006016549377465,0.64
Waltham-hispanic,2021,80380.0,0.1453561209496558,25.7,0.0049957466553244,0.52
Waltham-white,2021,104685.0,0.6862114298971463,37.2,0.1227901941071842,0.68
Worcester-asian,2021,60118.0,0.0677402424129457,33.0,0.0069555151152467,0.64
Worcester-black,2021,56936.0,0.1268915518450754,31.1,0.0084368730593965,0.49
Worcester-hispanic,2021,39885.0,0.2387144559933682,28.1,0.0151814663481583,0.47
Worcester-white,2021,59721.0,0.6473043700059352,38.1,0.1062064973732874,0.6
Bellingham-asian,2022,152625.0,0.0116886930983847,52.0,0.0,0.64
Bellingham-black,2022,119740.0,0.0082819383259911,35.0,5.873715124816446e-05,0.73
Bellingham-hispanic,2022,102083.0,0.0715418502202643,24.4,0.0017621145374449,0.9
Bellingham-white,2022,111773.0,0.8486930983847284,40.9,0.1393832599118942,0.64
Chelsea-asian,2022,72115.0,0.0285535221860115,41.8,0.0041363750313361,0.85
Chelsea-black,2022,55437.0,0.061970418651291,35.3,0.0061669591376284,0.59
Chelsea-hispanic,2022,73689.0,0.6741539232890449,32.6,0.0428177488092253,0.74
Chelsea-white,2022,81442.0,0.3393331662070694,36.9,0.0549511155678114,0.83
Chicopee-asian,2022,63051.0,0.0221496726249526,35.6,0.0016413845349109,0.6
Chicopee-black,2022,54821.0,0.0569073429411446,33.9,0.0046716329070543,0.57
Chicopee-hispanic,2022,39902.0,0.2401832578777439,27.0,0.0152955394022474,0.48
Chicopee-white,2022,70223.0,0.7652820115077289,47.0,0.1719124835410616,0.68
Everett-asian,2022,92933.0,0.0890828797370853,37.1,0.0082160829824381,0.75
Everett-black,2022,94905.0,0.1371264249768922,35.1,0.0107630687069939,0.44
Everett-hispanic,2022,78021.0,0.2910547396528705,27.4,0.0103317243504159,0.64
Everett-white,2022,73609.0,0.4600390263941666,42.5,0.0827975762555201,0.72
Fitchburg-asian,2022,116250.0,0.0173950649912303,31.8,0.0012733956416232,0.7
Fitchburg-black,2022,51429.0,0.07159847192523,26.3,0.0031955022704884,0.57
Fitchburg-hispanic,2022,62485.0,0.3056389803224333,27.9,0.0161216693496071,0.53
Fitchburg-white,2022,68464.0,0.6895077004396819,42.4,0.1274356694937651,0.64
Haverhill-asian,2022,82500.0,0.0145823733147027,28.9,0.000104053632215,0.66
Haverhill-black,2022,72222.0,0.0383214662643259,32.4,0.0030026905296329,0.65
Haverhill-hispanic,2022,69397.0,0.242489557474767,27.0,0.01699047166025,0.51
Haverhill-white,2022,84746.0,0.7147146700756618,42.7,0.1263359743136176,0.7
Holyoke-asian,2022,61654.0,0.0081130594085317,31.7,0.0004449097095001,0.71
Holyoke-black,2022,32083.0,0.04600889819419,27.8,0.0040565297042658,0.65
Holyoke-hispanic,2022,32426.0,0.5167233708453285,28.4,0.0430253860246008,0.48
Holyoke-white,2022,53949.0,0.6753205967024339,41.5,0.1401989008113059,0.78
Lawrence-asian,2022,90952.0,0.0210294434918868,29.1,0.0015215688055684,0.68
Lawrence-black,2022,77292.0,0.0514948845765156,33.9,0.0039515368980435,1.0
Lawrence-hispanic,2022,51323.0,0.8195919016203572,28.8,0.0575243848433578,0.53
Lawrence-white,2022,60629.0,0.2606651753778373,40.8,0.0458628089976949,1.0
Leominster-asian,2022,145057.0,0.029527739569005,41.4,0.0052498853736817,0.74
Leominster-black,2022,90728.0,0.0649931224209078,44.2,0.0069463548830811,0.67
Leominster-hispanic,2022,61842.0,0.1391792755616689,31.0,0.0144658413571756,0.61
Leominster-white,2022,73725.0,0.765772581384686,47.2,0.1673544245758826,0.75
